eta_C2 F_C2 eta_C3 F_C3
0.4768 0.0001 0.4720 0.0001
0.5548 0.0051 0.5344 0.0051
0.5969 0.0101 0.5628 0.0101
0.6327 0.0151 0.5869 0.0151
0.6559 0.0201 0.6051 0.0201
0.6790 0.0251 0.6217 0.0251
0.6978 0.0301 0.6377 0.0301
0.7177 0.0351 0.6531 0.0351
0.7352 0.0401 0.6678 0.0401
0.7507 0.0451 0.6789 0.0451
0.7654 0.0501 0.6898 0.0501
0.7787 0.0551 0.7019 0.0551
0.7928 0.0601 0.7133 0.0601
0.8105 0.0651 0.7237 0.0651
0.8226 0.0701 0.7353 0.0701
0.8391 0.0751 0.7453 0.0751
0.8497 0.0801 0.7523 0.0801
0.8633 0.0851 0.7633 0.0851
0.8736 0.0901 0.7723 0.0901
0.8839 0.0951 0.7796 0.0951
0.8973 0.1001 0.7858 0.1001
0.9078 0.1051 0.7951 0.1051
0.9192 0.1101 0.8028 0.1101
0.9286 0.1151 0.8102 0.1151
0.9375 0.1201 0.8179 0.1201
0.9473 0.1251 0.8255 0.1251
0.9571 0.1301 0.8320 0.1301
0.9664 0.1351 0.8387 0.1351
0.9786 0.1401 0.8462 0.1401
0.9882 0.1451 0.8517 0.1451
0.9971 0.1501 0.8570 0.1501
1.0080 0.1551 0.8636 0.1551
1.0162 0.1601 0.8695 0.1601
1.0253 0.1651 0.8759 0.1651
1.0339 0.1701 0.8823 0.1701
1.0427 0.1751 0.8889 0.1751
1.0526 0.1801 0.8943 0.1801
1.0638 0.1851 0.9002 0.1851
1.0735 0.1901 0.9059 0.1901
1.0819 0.1951 0.9104 0.1951
1.0908 0.2001 0.9151 0.2001
1.0996 0.2051 0.9207 0.2051
1.1101 0.2101 0.9262 0.2101
1.1191 0.2151 0.9312 0.2151
1.1291 0.2201 0.9358 0.2201
1.1369 0.2251 0.9412 0.2251
1.1457 0.2301 0.9451 0.2301
1.1549 0.2351 0.9505 0.2351
1.1645 0.2401 0.9541 0.2401
1.1726 0.2451 0.9596 0.2451
1.1828 0.2501 0.9640 0.2501
1.1926 0.2551 0.9693 0.2551
1.2007 0.2601 0.9732 0.2601
1.2087 0.2651 0.9773 0.2651
1.2173 0.2701 0.9827 0.2701
1.2257 0.2751 0.9870 0.2751
1.2340 0.2801 0.9904 0.2801
1.2438 0.2851 0.9944 0.2851
1.2518 0.2901 0.9980 0.2901
1.2594 0.2951 1.0030 0.2951
1.2687 0.3001 1.0071 0.3001
1.2774 0.3051 1.0108 0.3051
1.2853 0.3101 1.0144 0.3101
1.2960 0.3151 1.0189 0.3151
1.3048 0.3201 1.0234 0.3201
1.3161 0.3251 1.0279 0.3251
1.3262 0.3301 1.0334 0.3301
1.3342 0.3351 1.0382 0.3351
1.3439 0.3401 1.0438 0.3401
1.3507 0.3451 1.0471 0.3451
1.3592 0.3501 1.0504 0.3501
1.3692 0.3551 1.0544 0.3551
1.3785 0.3601 1.0583 0.3601
1.3879 0.3651 1.0631 0.3651
1.3974 0.3701 1.0686 0.3701
1.4053 0.3751 1.0738 0.3751
1.4166 0.3801 1.0790 0.3801
1.4260 0.3851 1.0842 0.3851
1.4349 0.3901 1.0907 0.3901
1.4437 0.3951 1.0971 0.3951
1.4527 0.4001 1.1025 0.4001
1.4623 0.4051 1.1083 0.4051
1.4706 0.4101 1.1139 0.4101
1.4830 0.4151 1.1194 0.4151
1.4913 0.4201 1.1254 0.4201
1.5020 0.4251 1.1309 0.4251
1.5098 0.4301 1.1369 0.4301
1.5217 0.4351 1.1442 0.4351
1.5320 0.4401 1.1513 0.4401
1.5390 0.4451 1.1568 0.4451
1.5473 0.4501 1.1622 0.4501
1.5566 0.4551 1.1688 0.4551
1.5666 0.4601 1.1758 0.4601
1.5765 0.4651 1.1834 0.4651
1.5850 0.4701 1.1919 0.4701
1.5942 0.4751 1.1982 0.4751
1.6055 0.4801 1.2040 0.4801
1.6139 0.4851 1.2101 0.4851
1.6224 0.4901 1.2170 0.4901
1.6333 0.4951 1.2227 0.4951
1.6448 0.5001 1.2297 0.5001
1.6550 0.5051 1.2377 0.5051
1.6643 0.5101 1.2466 0.5101
1.6734 0.5151 1.2521 0.5151
1.6819 0.5201 1.2593 0.5201
1.6916 0.5251 1.2667 0.5251
1.6988 0.5301 1.2764 0.5301
1.7067 0.5351 1.2843 0.5351
1.7169 0.5401 1.2938 0.5401
1.7257 0.5451 1.3028 0.5451
1.7340 0.5501 1.3139 0.5501
1.7434 0.5551 1.3230 0.5551
1.7539 0.5601 1.3316 0.5601
1.7627 0.5651 1.3406 0.5651
1.7716 0.5701 1.3501 0.5701
1.7803 0.5751 1.3590 0.5751
1.7905 0.5801 1.3678 0.5801
1.7997 0.5851 1.3780 0.5851
1.8085 0.5901 1.3871 0.5901
1.8180 0.5951 1.3975 0.5951
1.8286 0.6001 1.4077 0.6001
1.8407 0.6051 1.4195 0.6051
1.8501 0.6101 1.4314 0.6101
1.8594 0.6151 1.4413 0.6151
1.8667 0.6201 1.4494 0.6201
1.8770 0.6251 1.4610 0.6251
1.8871 0.6301 1.4722 0.6301
1.8964 0.6351 1.4822 0.6351
1.9088 0.6401 1.4945 0.6401
1.9193 0.6451 1.5126 0.6451
1.9305 0.6501 1.5273 0.6501
1.9440 0.6551 1.5399 0.6551
1.9539 0.6601 1.5544 0.6601
1.9642 0.6651 1.5684 0.6651
1.9752 0.6701 1.5814 0.6701
1.9870 0.6751 1.5952 0.6751
1.9966 0.6801 1.6100 0.6801
2.0055 0.6851 1.6270 0.6851
2.0166 0.6901 1.6384 0.6901
2.0265 0.6951 1.6543 0.6951
2.0378 0.7001 1.6744 0.7001
2.0486 0.7051 1.6881 0.7051
2.0564 0.7101 1.7041 0.7101
2.0664 0.7151 1.7213 0.7151
2.0760 0.7201 1.7331 0.7201
2.0869 0.7251 1.7521 0.7251
2.1009 0.7301 1.7661 0.7301
2.1104 0.7351 1.7825 0.7351
2.1188 0.7401 1.7991 0.7401
2.1311 0.7451 1.8212 0.7451
2.1410 0.7501 1.8416 0.7501
2.1563 0.7551 1.8638 0.7551
2.1671 0.7601 1.8824 0.7601
2.1775 0.7651 1.9016 0.7651
2.1906 0.7701 1.9270 0.7701
2.2014 0.7751 1.9504 0.7751
2.2136 0.7801 1.9742 0.7801
2.2255 0.7851 2.0069 0.7851
2.2368 0.7901 2.0290 0.7901
2.2518 0.7951 2.0521 0.7951
2.2649 0.8001 2.0722 0.8001
2.2766 0.8051 2.0982 0.8051
2.2898 0.8101 2.1242 0.8101
2.3017 0.8151 2.1556 0.8151
2.3155 0.8201 2.1827 0.8201
2.3282 0.8251 2.2184 0.8251
2.3411 0.8301 2.2423 0.8301
2.3540 0.8351 2.2741 0.8351
2.3664 0.8401 2.3121 0.8401
2.3815 0.8451 2.3420 0.8451
2.3945 0.8501 2.3711 0.8501
2.4104 0.8551 2.4045 0.8551
2.4179 0.8581 2.4198 0.8581
2.4224 0.8601 2.4320 0.8601
2.4371 0.8651 2.4704 0.8651
2.4500 0.8701 2.5047 0.8701
2.4645 0.8751 2.5474 0.8751
2.4741 0.8801 2.5861 0.8801
2.4913 0.8851 2.6216 0.8851
2.5065 0.8901 2.6731 0.8901
2.5233 0.8951 2.7305 0.8951
2.5416 0.9001 2.7729 0.9001
2.5616 0.9051 2.8177 0.9051
2.5769 0.9101 2.8554 0.9101
2.5938 0.9151 2.9134 0.9151
2.6099 0.9201 2.9688 0.9201
2.6282 0.9251 3.0290 0.9251
2.6490 0.9301 3.0752 0.9301
2.6675 0.9351 3.1321 0.9351
2.6892 0.9401 3.1908 0.9401
2.7066 0.9451 3.2617 0.9451
2.7314 0.9501 3.3196 0.9501
2.7588 0.9551 3.3806 0.9551
2.7867 0.9601 3.4576 0.9601
2.8163 0.9651 3.5181 0.9651
2.8473 0.9701 3.5821 0.9701
2.8845 0.9751 3.6652 0.9751
2.9276 0.9801 3.7370 0.9801
2.9820 0.9851 3.8216 0.9851
3.0597 0.9901 3.8804 0.9901
3.1697 0.9951 3.9516 0.9951
