eta pdf_C2 pdf_C3
0.3097 0.0000 0.0000
0.3292 0.0000 0.0000
0.3488 0.0000 0.0001
0.3682 0.0001 0.0002
0.3878 0.0004 0.0010
0.4073 0.0016 0.0031
0.4268 0.0044 0.0083
0.4463 0.0103 0.0185
0.4657 0.0203 0.0353
0.4853 0.0344 0.0590
0.5048 0.0516 0.0885
0.5242 0.0699 0.1225
0.5438 0.0877 0.1593
0.5633 0.1047 0.1973
0.5827 0.1224 0.2349
0.6023 0.1429 0.2708
0.6218 0.1669 0.3050
0.6413 0.1923 0.3384
0.6608 0.2165 0.3722
0.6803 0.2387 0.4070
0.6998 0.2601 0.4427
0.7193 0.2819 0.4797
0.7388 0.3031 0.5188
0.7583 0.3216 0.5604
0.7778 0.3363 0.6033
0.7973 0.3491 0.6469
0.8168 0.3639 0.6919
0.8363 0.3836 0.7389
0.8558 0.4076 0.7880
0.8753 0.4323 0.8396
0.8948 0.4547 0.8945
0.9143 0.4734 0.9519
0.9338 0.4880 1.0093
0.9533 0.4987 1.0623
0.9728 0.5078 1.1052
0.9923 0.5167 1.1303
1.0118 0.5244 1.1307
1.0312 0.5294 1.1048
1.0508 0.5322 1.0569
1.0703 0.5351 0.9965
1.0897 0.5392 0.9351
1.1093 0.5438 0.8807
1.1288 0.5475 0.8357
1.1482 0.5509 0.7987
1.1678 0.5555 0.7687
1.1873 0.5620 0.7444
1.2067 0.5684 0.7222
1.2263 0.5712 0.6967
1.2458 0.5687 0.6651
1.2652 0.5618 0.6295
1.2848 0.5544 0.5961
1.3043 0.5496 0.5697
1.3238 0.5483 0.5510
1.3433 0.5486 0.5366
1.3628 0.5483 0.5226
1.3823 0.5463 0.5073
1.4018 0.5428 0.4916
1.4213 0.5383 0.4762
1.4408 0.5326 0.4594
1.4603 0.5264 0.4386
1.4798 0.5218 0.4140
1.4993 0.5216 0.3894
1.5188 0.5255 0.3703
1.5383 0.5300 0.3592
1.5578 0.5312 0.3539
1.5773 0.5284 0.3500
1.5968 0.5238 0.3440
1.6163 0.5208 0.3358
1.6358 0.5226 0.3272
1.6553 0.5302 0.3204
1.6748 0.5411 0.3169
1.6943 0.5502 0.3161
1.7138 0.5537 0.3165
1.7333 0.5515 0.3157
1.7528 0.5453 0.3106
1.7723 0.5366 0.2992
1.7918 0.5264 0.2828
1.8113 0.5169 0.2657
1.8308 0.5095 0.2526
1.8503 0.5038 0.2445
1.8698 0.4965 0.2387
1.8893 0.4856 0.2320
1.9088 0.4733 0.2236
1.9283 0.4645 0.2147
1.9478 0.4629 0.2069
1.9673 0.4680 0.2016
1.9868 0.4762 0.2000
2.0063 0.4838 0.2019
2.0258 0.4880 0.2053
2.0453 0.4875 0.2072
2.0648 0.4820 0.2055
2.0843 0.4730 0.2004
2.1038 0.4624 0.1930
2.1233 0.4514 0.1851
2.1428 0.4409 0.1782
2.1623 0.4320 0.1731
2.1818 0.4244 0.1696
2.2013 0.4165 0.1673
2.2208 0.4076 0.1647
2.2403 0.3992 0.1609
2.2598 0.3938 0.1562
2.2793 0.3917 0.1529
2.2988 0.3909 0.1528
2.3182 0.3888 0.1561
2.3378 0.3838 0.1606
2.3573 0.3768 0.1631
2.3768 0.3697 0.1619
2.3963 0.3646 0.1578
2.4158 0.3619 0.1528
2.4352 0.3596 0.1484
2.4548 0.3547 0.1448
2.4743 0.3444 0.1412
2.4938 0.3289 0.1369
2.5133 0.3121 0.1318
2.5328 0.2992 0.1272
2.5523 0.2923 0.1241
2.5718 0.2888 0.1222
2.5913 0.2845 0.1202
2.6108 0.2773 0.1163
2.6303 0.2682 0.1105
2.6498 0.2586 0.1045
2.6693 0.2483 0.1003
2.6888 0.2366 0.0992
2.7083 0.2235 0.1011
2.7278 0.2103 0.1050
2.7473 0.1982 0.1092
2.7668 0.1875 0.1122
2.7863 0.1772 0.1134
2.8058 0.1665 0.1125
2.8253 0.1552 0.1098
2.8448 0.1444 0.1054
2.8643 0.1349 0.1002
2.8838 0.1267 0.0961
2.9033 0.1190 0.0939
2.9228 0.1103 0.0930
2.9423 0.1002 0.0919
2.9618 0.0895 0.0903
2.9813 0.0802 0.0894
3.0008 0.0731 0.0910
3.0203 0.0679 0.0948
3.0398 0.0637 0.0984
3.0593 0.0596 0.0994
3.0788 0.0553 0.0972
3.0983 0.0506 0.0929
3.1178 0.0457 0.0880
3.1373 0.0412 0.0837
3.1568 0.0377 0.0802
3.1763 0.0351 0.0777
3.1958 0.0326 0.0766
3.2153 0.0296 0.0767
3.2348 0.0259 0.0770
3.2543 0.0221 0.0773
3.2738 0.0186 0.0781
3.2933 0.0157 0.0797
3.3128 0.0136 0.0817
3.3323 0.0121 0.0826
3.3518 0.0110 0.0822
3.3713 0.0099 0.0802
3.3908 0.0083 0.0763
3.4103 0.0064 0.0715
3.4298 0.0044 0.0676
3.4493 0.0028 0.0670
3.4688 0.0017 0.0699
3.4883 0.0009 0.0740
3.5078 0.0004 0.0766
3.5273 0.0002 0.0765
3.5468 0.0000 0.0742
3.5663 0.0000 0.0711
3.5858 0.0000 0.0681
3.6053 0.0000 0.0662
3.6248 0.0000 0.0657
3.6443 0.0000 0.0662
3.6638 0.0000 0.0668
3.6833 0.0000 0.0670
3.7028 0.0000 0.0666
3.7223 0.0000 0.0656
3.7418 0.0000 0.0642
3.7613 0.0000 0.0633
3.7808 0.0000 0.0641
3.8003 0.0000 0.0673
3.8198 0.0000 0.0723
3.8393 0.0000 0.0777
3.8588 0.0000 0.0809
3.8783 0.0000 0.0808
3.8978 0.0000 0.0779
3.9173 0.0000 0.0746
3.9368 0.0000 0.0723
3.9563 0.0000 0.0696
3.9758 0.0000 0.0632
3.9953 0.0000 0.0512
4.0148 0.0000 0.0355
4.0343 0.0000 0.0204
4.0538 0.0000 0.0096
4.0733 0.0000 0.0036
4.0928 0.0000 0.0011
4.1123 0.0000 0.0003
4.1318 0.0000 0.0000
4.1513 0.0000 0.0000
4.1707 0.0000 0.0000
4.1903 0.0000 0.0000
